Roll No.,G CODE,Sections
SIASPG2023-0023,POLT333|SOCL333,A
SIASPG2023-0023,BUSI211|PSYC213,A
SIASPG2023-0023,PSYC327,A
SIASPG2023-0023,ENVS242|SOCL242|POLT221,A
SIASPG2023-0019,COMP203,A
SIASPG2023-0019,CHEM207,A
SIASPG2023-0019,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASPG2023-0019,PHYS110,A
SIASPG2023-0019,SOCL325|ENVS325,A
SIASUG2021-0030,CHEM322|BIOS322,A
SIASUG2021-0030,ECON206,A
SIASUG2021-0030,ARTS224,A
SIASUG2021-0030,MATH257,A
SIASUG2021-0030,PSYC251|SOCL251,A
SIASUG2021-0092,COMP311|MATH311,A
SIASUG2021-0092,COMP431|ARTS431,A
SIASUG2021-0092,MATH344&MATH444,A
SIASUG2021-0092,COMP329|MATH329&COMP429|MATH429,A
SIASUG2021-0092,COMP328&COMP428,A
SIASUG2021-0120,MATH355&MATH455,A
SIASUG2021-0120,PSYC209,A
SIASUG2021-0120,ARTS233,A
SIASUG2021-0120,ARTS205,A
SIASUG2021-0120,COMP207,A
SIASUG2021-0204,PSYC345&PSYC445,A
SIASUG2021-0204,COMP310&COMP410,A
SIASUG2021-0204,BUSI318,A
SIASUG2021-0204,ECON321&ECON421,A
SIASUG2021-0204,ECON207,A
SIASUG2022-0127,ENVS221|LITT242,A
SIASUG2022-0127,ARTS235|ENVS237,A
SIASUG2022-0127,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASUG2022-0127,CHEM321,A
SIASUG2022-0127,LITT212|ARTS232,A
SIASUG2021-0006,ECON210-B,A
SIASUG2021-0006,BUSI201,A
SIASUG2021-0006,POLT205,A
SIASUG2021-0006,MATH333,A
SIASUG2021-0006,PSYC345&PSYC445,A
SIASPG2023-0004,SOCL411|POLT411,A
SIASPG2023-0004,POLT203,A
SIASPG2023-0004,MATH061&PHYS061,A
SIASPG2023-0004,CHEM319,A
SIASPG2023-0004,PHYS360&PHYS460,A
SIASPG2023-0029,MATH191|COMP201,A
SIASPG2023-0029,BIOS306|CHEM305,A
SIASPG2023-0029,PHYS360&PHYS460,A
SIASPG2023-0029,POLT203,A
SIASPG2023-0029,ECON210-A,A
SIASUG2021-0010,ECON210-A,A
SIASUG2021-0010,MATH344&MATH444,A
SIASUG2021-0010,POLT334|SOCL334,A
SIASUG2021-0010,BUSI319,A
SIASUG2021-0010,ARTS234|PHIL234|PSYC235,A
SIASUG2021-0026,MATH333,A
SIASUG2021-0026,MATH257,A
SIASUG2021-0026,HIST303|PHIL315|LITT306,A
SIASUG2021-0026,PSYC442,A
SIASUG2021-0026,PHYS231,A
SIASUG2021-0198,POLT333|SOCL333,A
SIASUG2021-0198,MATH305&MATH405,A
SIASUG2021-0198,ECON332&ECON432,A
SIASUG2021-0198,PHYS231,A
SIASUG2021-0198,POLT203,A
SIASUG2022-0127,BIOS251|HIST251,A
SIASUG2022-0127,POLT334|SOCL334,A
SIASUG2022-0127,COMP235,A
SIASUG2022-0127,MATH203,A
SIASUG2022-0127,HIST303|PHIL315|LITT306,A
SIASUG2021-0195,PHYS443,A
SIASUG2021-0195,HIST326&HIST426,A
SIASUG2021-0195,BUSI319,A
SIASUG2021-0195,CHEM319,A
SIASUG2021-0195,BIOS432|CHEM432,A
SIASUG2021-0052,POLT333|SOCL333,A
SIASUG2021-0052,HIST339,A
SIASUG2021-0052,ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,A
SIASUG2021-0052,COMP328&COMP428,A
SIASUG2021-0052,SOCL201|POLT201,A
SIASPG2023-0028,BIOS227|ENVS227|PSYC227,A
SIASPG2023-0028,CHEM434,A
SIASPG2023-0028,ARTS235|ENVS237,A
SIASPG2023-0028,PSYC437,A
SIASPG2023-0028,CWPC601,A
SIASUG2021-0120,PHYS345,A
SIASUG2021-0120,COMP207,A
SIASUG2021-0120,CHEM440,A
SIASUG2021-0120,COMP310&COMP410,A
SIASUG2021-0120,COMP311|MATH311,A
SIASUG2021-0150,PHYS226,A
SIASUG2021-0150,SOCL411|POLT411,A
SIASUG2021-0150,COMP350,A
SIASUG2021-0150,ARTS233,A
SIASUG2021-0150,BIOS251|HIST251,A
SIASUG2021-0132,ECON206,A
SIASUG2021-0132,BUSI211|PSYC213,A
SIASUG2021-0132,ECON330|BUSI330&ECON430|BUSI430,A
SIASUG2021-0132,PSYC440,A
SIASUG2021-0132,POLT334|SOCL334,A
SIASUG2022-0015,BIOS409|ENVS409,A
SIASUG2022-0015,PHYS110,A
SIASUG2022-0015,BUSI317,A
SIASUG2022-0015,PSYC327,A
SIASUG2022-0015,CHEM322|BIOS322,A
SIASUG2022-0016,ARTS235|ENVS237,A
SIASUG2022-0016,CHEM319,A
SIASUG2022-0016,COMP329|MATH329&COMP429|MATH429,A
SIASUG2022-0016,CHEM322|BIOS322,A
SIASUG2022-0016,PHYS311,A
SIASUG2022-0021,POLT412,A
SIASUG2022-0021,POLT333|SOCL333,A
SIASUG2022-0021,LITT208,A
SIASUG2022-0021,COMP350,A
SIASUG2022-0021,HIST339,A
SIASUG2022-0023,PHYS311,A
SIASUG2022-0023,POLT412,A
SIASUG2022-0023,ECON206,A
SIASUG2022-0023,LITT212|ARTS232,A
SIASUG2022-0023,COMP431|ARTS431,A
SIASUG2022-0026,BIOS306|CHEM305,A
SIASUG2022-0026,ARTS233,A
SIASUG2022-0026,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASUG2022-0026,SOCL201|POLT201,A
SIASUG2022-0026,PHYS360&PHYS460,A
SIASUG2022-0032,PSYC437,A
SIASUG2022-0032,SOCL328,A
SIASUG2022-0032,BUSI201,A
SIASUG2022-0032,POLT333|SOCL333,A
SIASUG2022-0032,PHYS226,A
SIASUG2022-0046,PSYC208,A
SIASUG2022-0046,MATH061&PHYS061,A
SIASUG2022-0046,ECON201-A,A
SIASUG2022-0046,MATH355&MATH455,A
SIASUG2022-0046,SOCL325|ENVS325,A
SIASUG2022-0049,CHEM440,A
SIASUG2022-0049,ARTS233,A
SIASUG2022-0049,COMP235,A
SIASUG2022-0049,PSYC442,A
SIASUG2022-0049,COMP350,A
SIASUG2022-0052,MATH203,A
SIASUG2022-0052,CHEM431,A
SIASUG2022-0052,BUSI211|PSYC213,A
SIASUG2022-0052,MATH061&PHYS061,A
SIASUG2022-0052,BUSI317,A
SIASUG2022-0053,CHEM434,A
SIASUG2022-0053,PSYC345&PSYC445,A
SIASUG2022-0053,ENVS221|LITT242,A
SIASUG2022-0053,CHEM431,A
SIASUG2022-0053,BIOS306|CHEM305,A
SIASUG2022-0054,CHEM219,A
SIASUG2022-0054,ARTS224,A
SIASUG2022-0054,ECON201-A,A
SIASUG2022-0054,PHYS360&PHYS460,A
SIASUG2022-0054,BUSI317,A
SIASUG2022-0055,PSYC345&PSYC445,A
SIASUG2022-0055,ECON315|SOCL323|BUSI312,A
SIASUG2022-0055,COMP332&COMP432,A
SIASUG2022-0055,PHYS216|COMP216,A
SIASUG2022-0055,BIOS306|CHEM305,A
SIASUG2022-0068,CHEM321,A
SIASUG2022-0068,PHYS311,A
SIASUG2022-0068,POLT333|SOCL333,A
SIASUG2022-0068,BUSI201,A
SIASUG2022-0068,ARTS236|LITT234,A
SIASUG2022-0069,CHEM322|BIOS322,A
SIASUG2022-0069,MATH061&PHYS061,A
SIASUG2022-0069,HIST330|SOCL330|POLT330,A
SIASUG2022-0069,COMP347&COMP447,A
SIASUG2022-0069,COMP207,A
SIASUG2022-0075,ECON207,A
SIASUG2022-0075,ENVS242|SOCL242|POLT221,A
SIASUG2022-0075,ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,A
SIASUG2022-0075,BUSI319,A
SIASUG2022-0075,ECON210-A,A
SIASUG2022-0080,COMP203,A
SIASUG2022-0080,ARTS236|LITT234,A
SIASUG2022-0080,POLT334|SOCL334,A
SIASUG2022-0080,ECON210-A,A
SIASUG2022-0080,ECON332&ECON432,A
SIASUG2022-0096,MATH333,A
SIASUG2022-0096,COMP329|MATH329&COMP429|MATH429,A
SIASUG2022-0096,ENVS242|SOCL242|POLT221,A
SIASUG2022-0096,DATA201-A,A
SIASUG2022-0096,COMP431|ARTS431,A
SIASUG2022-0097,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASUG2022-0097,PHYS216|COMP216,A
SIASUG2022-0097,CHEM216,A
SIASUG2022-0097,BUSI211|PSYC213,A
SIASUG2022-0097,ENVS242|SOCL242|POLT221,A
SIASUG2022-0098,BIOS224,A
SIASUG2022-0098,MATH226,A
SIASUG2022-0098,ARTS205,A
SIASUG2022-0098,MATH203,A
SIASUG2022-0098,PSYC345&PSYC445,A
SIASUG2022-0101,ECON330|BUSI330&ECON430|BUSI430,A
SIASUG2022-0101,PSYC327,A
SIASUG2022-0101,BUSI211|PSYC213,A
SIASUG2022-0101,MATH191|COMP201,A
SIASUG2022-0101,CHEM219,A
SIASUG2022-0116,SOCL411|POLT411,A
SIASUG2022-0116,BUSI201,A
SIASUG2022-0116,COMP328&COMP428,A
SIASUG2022-0116,ARTS236|LITT234,A
SIASUG2022-0116,CHEM321,A
SIASUG2022-0120,ARTS235|ENVS237,A
SIASUG2022-0120,HIST326&HIST426,A
SIASUG2022-0120,ARTS224,A
SIASUG2022-0120,MATH305&MATH405,A
SIASUG2022-0120,MATH061&PHYS061,A
SIASUG2022-0130,CHEM431,A
SIASUG2022-0130,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASUG2022-0130,BUSI201,A
SIASUG2022-0130,ARTS233,A
SIASUG2022-0130,CHEM321,A
SIASUG2022-0146,POLT203,A
SIASUG2022-0146,ECON206,A
SIASUG2022-0146,POLT205,A
SIASUG2022-0146,BIOS227|ENVS227|PSYC227,A
SIASUG2022-0146,PHYS231,A
SIASUG2022-0148,MATH203,A
SIASUG2022-0148,CWPC601,A
SIASUG2022-0148,PHYS311,A
SIASUG2022-0148,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASUG2022-0148,ARTS236|LITT234,A
SIASUG2022-0150,PSYC442,A
SIASUG2022-0150,ENVS421,A
SIASUG2022-0150,ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,A
SIASUG2022-0150,LITT212|ARTS232,A
SIASUG2022-0150,ARTS224,A
SIASUG2022-0160,ENVS221|LITT242,A
SIASUG2022-0160,ECON210-A,A
SIASUG2022-0160,ECON210-B,A
SIASUG2022-0160,ARTS236|LITT234,A
SIASUG2022-0160,PHYS327,A
SIASUG2022-0172,PHYS311,A
SIASUG2022-0172,POLT415|SOCL415,A
SIASUG2022-0172,BIOS231|CHEM231,A
SIASUG2022-0172,HIST330|SOCL330|POLT330,A
SIASUG2022-0172,ECON201-B,A
SIASUG2022-0173,BIOS409|ENVS409,A
SIASUG2022-0173,BUSI319,A
SIASUG2022-0173,COMP329|MATH329&COMP429|MATH429,A
SIASUG2022-0173,ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,A
SIASUG2022-0173,PHYS311,A
SIASUG2022-0176,ARTS236|LITT234,A
SIASUG2022-0176,HIST303|PHIL315|LITT306,A
SIASUG2022-0176,ARTS234|PHIL234|PSYC235,A
SIASUG2022-0176,BUSI319,A
SIASUG2022-0176,ECON206,A
SIASUG2022-0183,BIOS224,A
SIASUG2022-0183,CHEM321,A
SIASUG2022-0183,PHYS226,A
SIASUG2022-0183,POLT412,A
SIASUG2022-0183,POLT205,A
SIASUG2022-0186,COMP311|MATH311,A
SIASUG2022-0186,POLT333|SOCL333,A
SIASUG2022-0186,MATH333,A
SIASUG2022-0186,MATH191|COMP201,A
SIASUG2022-0186,ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,A
SIASUG2021-0061,BIOS432|CHEM432,A
SIASUG2021-0061,COMP203,A
SIASUG2021-0061,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASUG2021-0061,BIOS231|CHEM231,A
SIASUG2021-0061,COMP347&COMP447,A
SIASUG2021-0068,CHEM207,A
SIASUG2021-0068,BIOS227|ENVS227|PSYC227,A
SIASUG2021-0068,ECON330|BUSI330&ECON430|BUSI430,A
SIASUG2021-0068,ENVS245,A
SIASUG2021-0068,COMP328&COMP428,A
SIASUG2021-0080,MATH203,A
SIASUG2021-0080,POLT203,A
SIASUG2021-0080,MATH333,A
SIASUG2021-0080,PSYC209,A
SIASUG2021-0080,SOCL328,A
SIASUG2021-0107,CHEM431,A
SIASUG2021-0107,BUSI319,A
SIASUG2021-0107,BIOS251|HIST251,A
SIASUG2021-0107,COMP332&COMP432,A
SIASUG2021-0107,PSYC251|SOCL251,A
SIASUG2021-0110,ECON209,A
SIASUG2021-0110,POLT415|SOCL415,A
SIASUG2021-0110,CHEM219,A
SIASUG2021-0110,BIOS231|CHEM231,A
SIASUG2021-0110,PSYC251|SOCL251,A
SIASUG2022-0015,BIOS221,A
SIASUG2022-0015,PHIL214|PHIL314&PHIL414,A
SIASUG2022-0015,PSYC345&PSYC445,A
SIASUG2022-0015,HIST326&HIST426,A
SIASUG2022-0015,COMP207,A
SIASUG2022-0016,HIST339,A
SIASUG2022-0016,BUSI319,A
SIASUG2022-0016,COMP332&COMP432,A
SIASUG2022-0016,CHEM431,A
SIASUG2022-0016,PHYS360&PHYS460,A
SIASUG2022-0021,ARTS236|LITT234,A
SIASUG2022-0021,ECON332&ECON432,A
SIASUG2022-0021,ECON333&ECON433,A
SIASUG2022-0021,SOCL411|POLT411,A
SIASUG2022-0021,POLT412,A
SIASUG2022-0023,COMP207,A
SIASUG2022-0023,COMP311|MATH311,A
SIASUG2022-0023,ENVS245,A
SIASUG2022-0023,BIOS409|ENVS409,A
SIASUG2022-0023,ENVS328,A
SIASUG2022-0026,COMP203,A
SIASUG2022-0026,COMP207,A
SIASUG2022-0026,COMP431|ARTS431,A
SIASUG2022-0026,BIOS221,A
SIASUG2022-0026,PHYS360&PHYS460,A
SIASUG2022-0032,BIOS221,A
SIASUG2022-0032,ECON209,A
SIASUG2022-0032,CHEM216,A
SIASUG2022-0032,HIST314|SOCL351|POLT351,A
SIASUG2022-0032,MATH257,A
SIASUG2022-0049,HIST303|PHIL315|LITT306,A
SIASUG2022-0049,COMP207,A
SIASUG2022-0049,ENVS433|HIST433|SOCL433|LITT433,A
SIASUG2022-0049,LITT212|ARTS232,A
SIASUG2022-0049,PHYS345,A
SIASUG2022-0052,ECON209,A
SIASUG2022-0052,ARTS234|PHIL234|PSYC235,A
SIASUG2022-0052,COMP207,A
SIASUG2022-0052,BIOS224,A
SIASUG2022-0052,BIOS409|ENVS409,A
SIASUG2022-0054,ARTS234|PHIL234|PSYC235,A
SIASUG2022-0054,MATH355&MATH455,A
SIASUG2022-0054,POLT203,A
SIASUG2022-0054,ECON201-B,A
SIASUG2022-0054,PSYC209,A
SIASUG2022-0055,ECON206,A
SIASUG2022-0055,BIOS231|CHEM231,A
SIASUG2022-0055,MATH355&MATH455,A
SIASUG2022-0055,ECON207,A
SIASUG2022-0055,DATA201-B,A
SIASUG2022-0068,MATH355&MATH455,A
SIASUG2022-0068,CHEM431,A
SIASUG2022-0068,COMP207,A
SIASUG2022-0068,ARTS224,A
SIASUG2022-0068,ECON329|SOCL332|POLT335&ECON429|SOCL432|POLT435,A
SIASUG2022-0069,ENVS421,A
SIASUG2022-0069,ECON332&ECON432,A
SIASUG2022-0069,ECON201-B,A
SIASUG2022-0069,BUSI319,A
SIASUG2022-0069,DATA201-A,A
SIASUG2022-0071,BUSI211|PSYC213,A
SIASUG2022-0071,CHEM219,A
SIASUG2022-0071,HIST314|SOCL351|POLT351,A
SIASUG2022-0071,PSYC209,A
SIASUG2022-0071,BUSI201,A
SIASUG2022-0075,ECON315|SOCL323|BUSI312,A
SIASUG2022-0075,CHEM434,A
SIASUG2022-0075,ARTS224,A
SIASUG2022-0075,ECON332&ECON432,A
SIASUG2022-0075,ARTS234|PHIL234|PSYC235,A
SIASUG2022-0097,COMP203,A
SIASUG2022-0097,HIST314|SOCL351|POLT351,A
SIASUG2022-0097,BIOS231|CHEM231,A
SIASUG2022-0097,PHYS327,A
SIASUG2022-0097,ENVS245,A
SIASUG2022-0098,BUSI211|PSYC213,A
SIASUG2022-0098,LITT208,A
SIASUG2022-0098,MATH344&MATH444,A
SIASUG2022-0098,BIOS224,A
SIASUG2022-0098,BIOS409|ENVS409,A
SIASUG2022-0101,ECON209,A
SIASUG2022-0101,MATH226,A
SIASUG2022-0101,PHYS360&PHYS460,A
SIASUG2022-0101,BIOS306|CHEM305,A
SIASUG2022-0101,MATH305&MATH405,A
SIASUG2022-0109,PHYS110,A
SIASUG2022-0109,MATH203,A
SIASUG2022-0109,COMP203,A
SIASUG2022-0109,MATH257,A
SIASUG2022-0109,POLT333|SOCL333,A
SIASUG2022-0116,PHYS231,A
SIASUG2022-0116,MATH191|COMP201,A
SIASUG2022-0116,COMP207,A
SIASUG2022-0116,BIOS227|ENVS227|PSYC227,A
SIASUG2022-0116,ARTS235|ENVS237,A
SIASUG2022-0120,PHYS345,A
SIASUG2022-0120,SOCL411|POLT411,A
SIASUG2022-0120,ARTS235|ENVS237,A
SIASUG2022-0120,ENVS421,A
SIASUG2022-0120,PSYC251|SOCL251,A
SIASUG2022-0130,ECON209,A
SIASUG2022-0130,BIOS221,A
SIASUG2022-0130,HIST314|SOCL351|POLT351,A
SIASUG2022-0130,BUSI211|PSYC213,A
SIASUG2022-0130,CHEM207,A
SIASUG2022-0146,HIST326&HIST426,A
SIASUG2022-0146,PHYS345,A
SIASUG2022-0146,COMP332&COMP432,A
SIASUG2022-0146,POLT203,A
SIASUG2022-0146,CWPC601,A
SIASUG2022-0148,PSYC208,A
SIASUG2022-0148,ARTS233,A
SIASUG2022-0148,PSYC440,A
SIASUG2022-0148,ARTS236|LITT234,A
SIASUG2022-0148,COMP235,A
SIASUG2022-0150,LITT212|ARTS232,A
SIASUG2022-0150,MATH061&PHYS061,A
SIASUG2022-0150,SOCL411|POLT411,A
SIASUG2022-0150,PSYC345&PSYC445,A
SIASUG2022-0150,MATH333,A
SIASUG2022-0157,BIOS409|ENVS409,A
SIASUG2022-0157,DATA201-B,A
SIASUG2022-0157,PHYS110,A
SIASUG2022-0157,MATH061&PHYS061,A
SIASUG2022-0157,SOCL325|ENVS325,A
SIASUG2022-0160,BIOS306|CHEM305,A
SIASUG2022-0160,CHEM207,A
SIASUG2022-0160,BIOS231|CHEM231,A
SIASUG2022-0160,COMP431|ARTS431,A
SIASUG2022-0160,ARTS235|ENVS237,A
SIASUG2022-0172,COMP207,A
SIASUG2022-0172,ENVS433|HIST433|SOCL433|LITT433,A
SIASUG2022-0172,PHYS443,A
SIASUG2022-0172,CHEM216,A
SIASUG2022-0172,PHYS327,A
SIASUG2022-0173,COMP207,A
SIASUG2022-0173,LITT208,A
SIASUG2022-0173,BIOS306|CHEM305,A
SIASUG2022-0173,CHEM431,A
SIASUG2022-0173,DATA201-A,A
SIASUG2022-0183,BIOS224,A
SIASUG2022-0183,LITT208,A
SIASUG2022-0183,POLT412,A
SIASUG2022-0183,ECON315|SOCL323|BUSI312,A
SIASUG2022-0183,DATA201-B,A
SIASUG2022-0186,BUSI211|PSYC213,A
SIASUG2022-0186,PSYC345&PSYC445,A
SIASUG2022-0186,PHYS216|COMP216,A
SIASUG2022-0186,POLT412,A
SIASUG2022-0186,PHIL214|PHIL314&PHIL414,A
SIASUG2022-0096,ARTS224,A
SIASUG2022-0096,PSYC208,A
SIASUG2022-0096,COMP203,A
SIASUG2022-0096,BUSI319,A
SIASUG2022-0096,LITT208,A
SIASUG2022-0173,HIST314|SOCL351|POLT351,A
SIASUG2022-0173,CHEM321,A
SIASUG2022-0173,BUSI211|PSYC213,A
SIASUG2022-0173,CHEM440,A
SIASUG2022-0173,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASUG2022-0160,ARTS235|ENVS237,A
SIASUG2022-0160,ENVS250|PHIL211,A
SIASUG2022-0160,ECON321&ECON421,A
SIASUG2022-0160,CHEM434,A
SIASUG2022-0160,COMP203,A
SIASUG2021-0058,HIST328|BIOS328|LITT328|ARTS328&HIST428|BIOS428|LITT428|ARTS428,A
SIASUG2021-0058,COMP235,A
SIASUG2021-0058,ECON209,A
SIASUG2021-0058,CHEM319,A
SIASUG2021-0058,CHEM440,A
SIASUG2022-0097,PHYS345,A
SIASUG2022-0097,ECON201-A,A
SIASUG2022-0097,ECON330|BUSI330&ECON430|BUSI430,A
SIASUG2022-0097,PSYC440,A
SIASUG2022-0097,MATH355&MATH455,A
SIASUG2022-0141,COMP207,A
SIASUG2022-0141,ENVS242|SOCL242|POLT221,A
SIASUG2022-0141,POLT415|SOCL415,A
SIASUG2022-0141,ECON209,A
SIASUG2022-0141,COMP347&COMP447,A
SIASUG2022-0143,POLT415|SOCL415,A
SIASUG2022-0143,PHYS443,A
SIASUG2022-0143,PSYC437,A
SIASUG2022-0143,ARTS234|PHIL234|PSYC235,A
SIASUG2022-0143,CHEM434,A
SIASUG2021-0041,ENVS245,A
SIASUG2021-0041,PSYC345&PSYC445,A
