SN,"Trimesters
 T 1/4/7/10",Div.,Discp,Course code,Course Title,"Year 1
 2024-28
 T1/2/3","Year 2
 2023-27
 T4/5/6","Year 3
 2022-26
 T7/8/9","Year 4
 2021-25
 T10/11/12",Phd,Course Type,Credits,Faculty Name,Required for
84,Trimester 1/4/7/10,SCI,MATH,MATH304,Analysis 4,NO,No,Yes,Yes,,Required (3rd year),4,Shibi Vasudevan,Required for mathematics major; elective for mathematics minor
85,Trimester 1/4/7/10,SCI,MATH,MATH332 (formerly MATH316),Algebra 2,NO,No,Yes,Yes,,Required (3rd year),4,C.P. Anil Kumar,Required for mathematics major; elective for mathematics minor
86,Trimester 1/4/7/10,SCI,MATH,MATH434,Algebra 4,NO,No,With permission,Yes,,Required (4th Year),4,Raghavan,Required for mathematics major; elective for mathematics minor
87,Trimester 1/4/7/10,SCI,MATH,MATH442,Topology 2,NO,No,No,Yes,,Required (4th year),4,Arghya Mondal,Required for mathematics major; elective for mathematics minor
88,Trimester 1/4/7/10,SCI,PHYS,PHYS201|CHEM211,Mathematical Methods I,NO,Yes,Yes,Yes,,Required (2nd yr),4,Rama Kamineni,"4-year PHYS major, 4-year PHYS double major, 3-year PHYS major, 3-year PHYS double major, PHYS minor, PHYS concentration"
89,Trimester 1/4/7/10,SCI,PHYS,PHYS221,Classical Physics: Energy and Force I,NO,YES,YES,YES,,Required (2nd yr),2,Tanmoy Chakrabarty,"4-year PHYS major, 4-year PHYS double major, 3-year PHYS major, 3-year PHYS double major, PHYS minor, PHYS concentration"
90,Trimester 1/4/7/10,SCI,PHYS,PHYS222,Classical Physics: Energy and Force II,NO,NO,YES,YES,,Required (3rd yr),2,Tanmoy Chakrabarty,"4-year PHYS major, 4-year PHYS double major, 3-year PHYS major, 3-year PHYS double major, PHYS minor"
91,Trimester 1/4/7/10,SCI,PHYS,PHYS211|COMP211,Electronics I,NO,Yes,Yes,Yes,,Required (2nd yr),2,Tanmoy Chakrabarty,"4-year PHYS major, 4-year PHYS double major, 3-year PHYS major, 3-year PHYS double major, Recommended elective for PHYS minor"
92,Trimester 1/4/7/10,SCI,PHYS,PHYS301,Statistical Physics,NO,NO,YES,YES,,Elective (3rd yr),4,Sivakumar Srinivasan,"4-year PHYS major, 4-year PHYS double major, Recommended elective for 3-year PHYS major, Recommended elective for 3-year PHYS double major"
93,Trimester 1/4/7/10,SCI,PHYS,PHYS227,Optics I,NO,With permission,Yes,Yes,,Required (3rd yr),2,Venkata Badram,"4-year PHYS major, 4-year PHYS double major, 3-year PHYS major, 3-year PHYS double major, Recommended elective for PHYS minor"
94,Trimester 1/4/7/10,SCI,PHYS,PHYS401,"Fundamentals of Classical Field Theory (Formerly known as ""Fundamentals of Theoretical Physics"")",NO,NO,NO,YES,,Required (4th yr),4,Sushant Raut,"4-year PHYS major, Recommended elective for 4-year PHYS double major"
95,Trimester 1/4/7/10,SCI,PHYS,PHYS601,Classical Field Theory,NO,NO,NO,NO,Yes,Required (Ph.D.),4,Sushant Raut,Required (Ph.D.)
96,Trimester 1/4/7/10,SCI,PSYC,PSYC201,Introduction to Psychology (A) & (B),NO,Yes,Yes,Yes,,Required,4,Suryodaya Sharma,"Required course for PSYC Major, PSYC Minor"
97,Trimester 1/4/7/10,SCI,PSYC,PSYC203|BIOS203,Brain & Behaviour (A) & (B),NO,Yes,Yes,Yes,,Required,4,Varun V,"Required course for PSYC Major, PSYC Minor"
98,Trimester 1/4/7/10,SCI,PSYC,PSYC226,History & Systems of Psychology,NO,Yes,Yes,Yes,,Elective,4,Sayantan Mandal,"Elective course for PSYC Major, PSYC Minor"
99,Trimester 1/4/7/10,SCI,PSYC,PSYC307,Writing like a Psychologist (A) & (B),NO,NO,Yes,Yes,,Required,4,Sabah Siddiqui,Required for PSYC390 and PSYC490
100,Trimester 1/4/7/10,SCI,PSYC,PSYC321,Educational Psychology,NO,NO,Yes,Yes,,Elective,4,Neha Aggarwal,"Elective course for PSYC Major, PSYC Minor"
101,Trimester 1/4/7/10,SCI,PSYC,PSYC438,"Advanced Qualitative Research: Power, politics, pleasure",NO,NO,NO,Yes,,Elective,4,Sabah Siddiqui,"Elective course for PSYC Major, PSYC Minor"
